Date,Day,Month,Year,Customer_Age,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Revenue,Cost,YearMonth
2016-01-20,20,January,2016,36,F,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,11,1,2.144,11,72,11,2016-January
2016-04-14,14,April,2016,35,M,Germany,Nordrhein-Westfalen,Accessories,Helmets,"Sport-100 Helmet, Red",12,13,35.0,209,415,156,2016-April
2016-06-29,29,June,2016,23,F,Canada,British Columbia,Accessories,Cleaners,Bike Wash - Dissolver,24,3,8.0,118,240,72,2016-June
2016-03-28,28,March,2016,19,F,United States,Washington,Accessories,Tires and Tubes,Road Tire Tube,18,1,4.288,38,106,18,2016-March
2016-01-06,6,January,2016,57,M,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,16,1,2.0,16,82,16,2016-January
2016-01-17,17,January,2016,30,F,Germany,Hamburg,Accessories,Tires and Tubes,Touring Tire,5,11,29.0,80,185,55,2016-January
2016-02-06,6,February,2016,51,M,United States,Oregon,Clothing,Caps,AWC Logo Cap,23,7,9.648,17,228,161,2016-February
2016-05-16,16,May,2016,35,F,United States,Washington,Accessories,Tires and Tubes,Mountain Tire Tube,28,2,5.36,53,159,56,2016-May
2016-04-26,26,April,2016,34,M,United States,California,Accessories,Helmets,"Sport-100 Helmet, Blue",13,13,37.52,277,496,169,2016-April
2016-01-04,4,January,2016,36,F,France,Garonne (Haute),Clothing,Vests,"Classic Vest, L",11,24,64.0,398,712,264,2016-January
2016-02-15,15,February,2016,64,F,Germany,Bayern,Accessories,Bottles and Cages,Water Bottle - 30 oz.,11,2,5.0,32,104,22,2016-February
2016-01-19,19,January,2016,43,F,France,Nord,Accessories,Tires and Tubes,Road Tire Tube,31,1,4.0,77,158,31,2016-January
2016-05-23,23,May,2016,22,M,Australia,Victoria,Accessories,Bottles and Cages,Road Bottle Cage,32,3,9.0,132,278,96,2016-May
2016-04-05,5,April,2016,31,M,United States,California,Accessories,Tires and Tubes,HL Mountain Tire,2,13,37.52,43,119,26,2016-April
2016-02-15,15,February,2016,36,M,Australia,New South Wales,Bikes,Road Bikes,"Road-550-W Yellow, 48",1,713,1120.0,261,1024,713,2016-February
2016-05-25,25,May,2016,32,F,Australia,New South Wales,Accessories,Tires and Tubes,ML Mountain Tire,3,11,30.0,45,128,33,2016-May
2016-07-30,30,July,2016,41,F,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,10,2,5.0,30,100,20,2016-July
2016-03-31,31,March,2016,31,M,Australia,Queensland,Accessories,Bottles and Cages,Water Bottle - 30 oz.,16,2,5.0,35,117,32,2016-March
2016-05-09,9,May,2016,22,M,Australia,Queensland,Accessories,Tires and Tubes,Patch Kit/8 Patches,15,1,2.0,10,75,15,2016-May
2016-05-20,20,May,2016,22,F,United Kingdom,England,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",27,42,54.0,266,1450,1134,2016-May
2016-03-01,1,March,2016,38,M,Australia,Victoria,Accessories,Tires and Tubes,HL Mountain Tire,24,13,35.0,352,714,312,2016-March
2016-07-25,25,July,2016,44,F,France,Seine Saint Denis,Accessories,Tires and Tubes,Mountain Tire Tube,19,2,5.0,40,128,38,2016-July
2016-01-25,25,January,2016,26,F,Australia,Victoria,Accessories,Fenders,Fender Set - Mountain,4,8,22.0,38,120,32,2016-January
2016-05-30,30,May,2016,32,F,Australia,Victoria,Accessories,Helmets,"Sport-100 Helmet, Red",3,13,35.0,44,133,39,2016-May
2016-03-13,13,March,2016,30,F,United Kingdom,England,Accessories,Tires and Tubes,Mountain Tire Tube,14,2,5.0,39,117,28,2016-March
2016-01-18,18,January,2016,49,F,Canada,British Columbia,Clothing,Vests,"Classic Vest, L",17,24,64.0,669,1127,408,2016-January
2016-03-04,4,March,2016,31,M,Australia,Victoria,Accessories,Bottles and Cages,Water Bottle - 30 oz.,27,2,5.0,53,157,54,2016-March
2016-04-06,6,April,2016,32,M,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,6,2,5.36,17,79,12,2016-April
2016-05-14,14,May,2016,61,M,United States,California,Clothing,Gloves,"Half-Finger Gloves, L",30,9,25.728,436,756,270,2016-May
2016-04-25,25,April,2016,28,M,Germany,Hamburg,Clothing,Caps,AWC Logo Cap,13,7,9.0,18,159,91,2016-April
2016-02-12,12,February,2016,46,F,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,6,1,2.0,6,62,6,2016-February
2016-05-08,8,May,2016,49,M,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,30,2,5.36,87,197,60,2016-May
